16:26:59,161 28.11.2013	

time [s];Voltage over 220Ohm;Current in[mA];Voltage out
0,000;0,000;-0,011;-0,049;1,398
0,081;3,600;-0,011;-0,049;1,398
0,181;3,300;-0,011;-0,049;1,398
0,281;3,300;-0,011;-0,049;1,398
0,381;3,300;-0,011;-0,049;1,398
0,481;3,300;-0,011;-0,049;1,398
0,581;3,300;-0,011;-0,049;1,398
0,681;3,300;-0,011;-0,049;1,398
0,781;3,300;-0,011;-0,049;1,398
0,881;3,300;-0,011;-0,049;1,398
0,981;3,300;-0,011;-0,049;1,398
1,081;3,300;-0,011;-0,049;1,398
1,181;3,300;-0,011;-0,049;1,398
1,281;3,300;-0,011;-0,049;1,398
1,381;3,300;-0,011;-0,049;1,398
1,481;3,300;-0,011;-0,049;1,398
1,581;3,300;-0,011;-0,049;1,398
1,681;3,300;-0,011;-0,049;1,398
1,781;3,300;0,487;2,215;1,398
1,881;3,300;1,199;5,451;1,399
1,981;3,300;0,804;3,656;1,398
2,081;3,300;0,804;3,654;1,398
2,181;3,300;0,804;3,655;1,398
2,281;3,300;0,804;3,653;1,398
2,381;3,300;0,804;3,654;1,398
2,481;3,300;0,803;3,652;1,398
2,581;3,300;0,804;3,654;1,398
2,681;3,300;0,803;3,652;1,398
2,781;3,300;0,804;3,653;1,398
2,881;3,300;0,804;3,653;1,398
2,981;3,300;0,804;3,653;1,398
3,081;3,300;0,804;3,654;1,398
3,181;3,300;0,804;3,656;1,398
3,281;3,300;0,804;3,652;1,398
3,381;3,300;0,804;3,654;1,398
3,481;3,300;0,804;3,656;1,398
3,581;3,300;0,804;3,654;1,398
3,681;3,300;0,804;3,655;1,398
3,781;3,300;0,805;3,657;1,398
3,881;3,300;0,804;3,654;1,398
3,981;3,300;0,804;3,656;1,398
4,081;3,300;0,804;3,656;1,398
4,181;3,300;0,804;3,657;1,398
4,281;3,300;0,805;3,657;1,398
4,381;3,300;0,805;3,657;1,398
4,481;3,300;0,805;3,657;1,398
4,581;3,300;0,805;3,657;1,398
4,681;3,300;0,804;3,656;1,398
4,781;3,300;0,804;3,657;1,398
4,881;3,300;0,804;3,657;1,398
4,981;3,300;0,804;3,657;1,398
5,081;3,300;0,805;3,657;1,398
5,181;3,300;0,805;3,658;1,398
5,281;3,300;0,805;3,660;1,398
