17:00:57,606 27.11.2013	

time [s];Voltage over 220Ohm;Current in[mA];Numbers of errors on Clock;Numbers of errors on data
0,000;1,320;131,986;22,000;126,000
2,079;1,336;133,575;22,000;126,000
2,495;1,331;133,143;22,000;126,000
2,995;1,334;133,436;22,000;126,000
4,399;1,320;131,978;22,000;126,000
5,453;1,372;137,181;22,000;126,000
6,383;1,339;133,943;22,000;126,000
7,265;1,306;130,625;22,000;126,000
7,949;1,330;132,953;22,000;126,000
8,638;1,323;132,279;22,000;126,000
9,564;1,317;131,694;22,000;126,000
10,490;1,339;133,929;22,000;126,000
11,786;1,327;132,746;22,000;126,000
15,136;1,326;132,641;22,000;126,000
16,112;1,336;133,617;22,000;126,000
