15:02:42,985 28.11.2013	

time [s];Voltage over 220Ohm;Current in[mA];Numbers of errors on data
0,000;0,499;49,858;211,000
10,577;0,454;45,390;211,000
10,993;0,520;51,956;211,000
11,391;0,507;50,738;211,000
11,790;0,510;50,955;211,000
12,206;0,490;49,039;211,000
12,673;0,514;51,352;211,000
13,173;0,455;45,536;211,000
13,673;0,524;52,434;211,000
14,173;0,513;51,261;211,000
14,673;0,463;46,306;211,000
15,173;0,466;46,640;211,000
15,673;0,517;51,732;211,000
16,173;0,524;52,412;211,000
16,673;0,462;46,162;211,000
