10.11.2005	12:15
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
----------------------------------------------------------------------------------------------------------------------------------------------------------
22,10     	  21,20   	    0      	      1001010      	0         	    FALSE 	       0,00   	   4A     	     0         
21,62     	  21,17   	    0      	      1000101      	0         	    FALSE 	       0,32   	   45     	     0         
21,26     	  21,13   	    2      	      1001010      	0         	    FALSE 	       0,43   	   4A     	     0         
17,69     	  21,14   	    55     	      1000101      	0         	    FALSE 	       0,51   	   45     	     0         
24,68     	  20,73   	    298    	      1001010      	0         	    FALSE 	       0,58   	   4A     	     0         
24,32     	  21,03   	    380    	      1000101      	0         	    FALSE 	       0,74   	   45     	     0         
24,17     	  20,71   	    554    	      1001010      	0         	    FALSE 	       0,78   	   4A     	     0         
24,58     	  20,67   	    750    	      1000101      	0         	    FALSE 	       0,89   	   45     	     0         
22,04     	  20,86   	    935    	      1001010      	0         	    FALSE 	       0,98   	   4A     	     0         
21,97     	  20,96   	    1078   	      1000101      	0         	    FALSE 	       1,08   	   45     	     0         
21,54     	  20,95   	    1294   	      1001010      	0         	    FALSE 	       1,18   	   4A     	     0         
22,34     	  20,90   	    1444   	      1000101      	0         	    FALSE 	       1,30   	   45     	     0         
21,87     	  20,91   	    1614   	      1001010      	0         	    FALSE 	       1,38   	   4A     	     0         
24,03     	  20,98   	    1792   	      1000101      	0         	    FALSE 	       1,48   	   45     	     0         
24,32     	  20,76   	    1963   	      1001010      	0         	    FALSE 	       1,58   	   4A     	     0         
25,45     	  20,76   	    2146   	      1000101      	0         	    FALSE 	       1,68   	   45     	     0         
25,22     	  20,73   	    2330   	      1001010      	0         	    FALSE 	       1,78   	   4A     	     0         
24,80     	  20,70   	    2503   	      1000101      	0         	    FALSE 	       1,88   	   45     	     0         
21,18     	  20,67   	    2698   	      1001010      	0         	    FALSE 	       1,98   	   4A     	     0         
21,23     	  20,90   	    2852   	      1000101      	0         	    FALSE 	       2,10   	   45     	     0         
22,36     	  20,81   	    3095   	      1001010      	0         	    FALSE 	       2,18   	   4A     	     0         
21,62     	  21,11   	    3214   	      1000101      	0         	    FALSE 	       2,33   	   45     	     0         
21,37     	  20,81   	    3374   	      1001010      	0         	    FALSE 	       2,38   	   4A     	     0         
24,19     	  20,77   	    3633   	      1000101      	0         	    FALSE 	       2,48   	   45     	     0         
24,13     	  20,82   	    3735   	      1001010      	0         	    FALSE 	       2,63   	   4A     	     0         
25,49     	  20,81   	    3937   	      1000101      	0         	    FALSE 	       2,71   	   45     	     0         
25,45     	  21,00   	    4132   	      1001010      	0         	    FALSE 	       2,80   	   4A     	     0         
24,58     	  20,92   	    4319   	      1000101      	0         	    FALSE 	       2,90   	   45     	     0         
20,82     	  20,81   	    4510   	      1001010      	0         	    FALSE 	       3,01   	   4A     	     0         
21,06     	  20,99   	    4690   	      1000101      	0         	    FALSE 	       3,11   	   45     	     0         
22,18     	  20,98   	    4895   	      1001010      	0         	    FALSE 	       3,21   	   4A     	     0         
21,56     	  20,81   	    5084   	      1000101      	0         	    FALSE 	       3,32   	   45     	     0         
21,59     	  21,03   	    5251   	      1001010      	0         	    FALSE 	       3,44   	   4A     	     0         
24,83     	  20,84   	    5429   	      1000101      	0         	    FALSE 	       3,54   	   45     	     0         
22,07     	  20,80   	    5597   	      1001010      	0         	    FALSE 	       3,63   	   4A     	     0         
25,35     	  20,61   	    5738   	      1000101      	0         	    FALSE 	       3,73   	   45     	     0         
25,40     	  20,77   	    5867   	      1001010      	0         	    FALSE 	       3,84   	   4A     	     0         
25,22     	  20,91   	    6055   	      1000101      	0         	    FALSE 	       3,92   	   45     	     0         
21,93     	  21,03   	    6249   	      1001010      	0         	    FALSE 	       4,02   	   4A     	     0         
21,37     	  21,09   	    6391   	      1000101      	0         	    FALSE 	       4,14   	   45     	     0         
21,52     	  20,91   	    6569   	      1001010      	0         	    FALSE 	       4,19   	   4A     	     0         
20,87     	  20,82   	    6743   	      1000101      	0         	    FALSE 	       4,29   	   45     	     0         
22,11     	  20,91   	    6913   	      1001010      	0         	    FALSE 	       4,39   	   4A     	     0         
25,27     	  20,86   	    7096   	      1000101      	0         	    FALSE 	       4,49   	   45     	     0         
23,93     	  20,67   	    7274   	      1001010      	0         	    FALSE 	       4,59   	   4A     	     0         
25,30     	  20,75   	    7459   	      1000101      	0         	    FALSE 	       4,69   	   45     	     0         
24,79     	  20,61   	    7623   	      1001010      	0         	    FALSE 	       4,79   	   4A     	     0         
25,02     	  20,63   	    7796   	      1000101      	0         	    FALSE 	       4,89   	   45     	     0         
21,12     	  20,62   	    8074   	      1001010      	0         	    FALSE 	       4,99   	   4A     	     0         
21,10     	  21,14   	    8151   	      1000101      	0         	    FALSE 	       5,14   	   45     	     0         
17,62     	  20,90   	    8330   	      1001010      	0         	    FALSE 	       5,19   	   4A     	     0         
22,30     	  20,76   	    8504   	      1000101      	0         	    FALSE 	       5,29   	   45     	     0         
21,36     	  20,87   	    8676   	      1001010      	0         	    FALSE 	       5,39   	   4A     	     0         
25,16     	  20,75   	    8870   	      1000101      	0         	    FALSE 	       5,49   	   45     	     0         
24,07     	  20,67   	    9034   	      1001010      	0         	    FALSE 	       5,59   	   4A     	     0         
24,78     	  20,56   	    9209   	      1000101      	0         	    FALSE 	       5,69   	   45     	     0         
25,19     	  20,76   	    9400   	      1001010      	0         	    FALSE 	       5,79   	   4A     	     0         
25,35     	  20,62   	    9572   	      1000101      	0         	    FALSE 	       5,89   	   45     	     0         
22,10     	  20,77   	    9774   	      1001010      	0         	    FALSE 	       5,99   	   4A     	     0         
22,03     	  20,98   	    9986   	      1000101      	0         	    FALSE 	       6,11   	   45     	     0         
21,43     	  21,13   	    10105  	      1001010      	0         	    FALSE 	       6,23   	   4A     	     0         
21,42     	  20,82   	    10285  	      1000101      	0         	    FALSE 	       6,29   	   45     	     0         
22,41     	  20,80   	    10483  	      1001010      	0         	    FALSE 	       6,39   	   4A     	     0         
25,12     	  20,73   	    10647  	      1000101      	0         	    FALSE 	       6,49   	   45     	     0         
24,14     	  20,56   	    10825  	      1001010      	0         	    FALSE 	       6,59   	   4A     	     0         
24,17     	  20,77   	    11020  	      1000101      	0         	    FALSE 	       6,69   	   45     	     0         
24,46     	  20,75   	    11187  	      1001010      	0         	    FALSE 	       6,79   	   4A     	     0         
25,50     	  20,80   	    11365  	      1000101      	0         	    FALSE 	       6,89   	   45     	     0         
20,99     	  20,71   	    11568  	      1001010      	0         	    FALSE 	       6,99   	   4A     	     0         
21,28     	  20,92   	    11724  	      1000101      	0         	    FALSE 	       7,11   	   45     	     0         
22,31     	  20,80   	    11909  	      1001010      	0         	    FALSE 	       7,18   	   4A     	     0         
21,17     	  20,87   	    12075  	      1000101      	0         	    FALSE 	       7,29   	   45     	     0         
21,80     	  20,86   	    12266  	      1001010      	0         	    FALSE 	       7,39   	   4A     	     0         
24,03     	  20,81   	    12441  	      1000101      	0         	    FALSE 	       7,48   	   45     	     0         
24,14     	  20,77   	    12629  	      1001010      	0         	    FALSE 	       7,58   	   4A     	     0         
24,12     	  20,56   	    12818  	      1000101      	0         	    FALSE 	       7,69   	   45     	     0         
24,51     	  20,80   	    12993  	      1001010      	0         	    FALSE 	       7,79   	   4A     	     0         
25,55     	  20,80   	    13183  	      1000101      	0         	    FALSE 	       7,88   	   45     	     0         
21,52     	  20,73   	    13374  	      1001010      	0         	    FALSE 	       7,98   	   4A     	     0         
21,19     	  21,11   	    13563  	      1000101      	0         	    FALSE 	       8,10   	   45     	     0         
22,18     	  21,08   	    13726  	      1001010      	0         	    FALSE 	       8,21   	   4A     	     0         
21,70     	  21,06   	    13925  	      1000101      	0         	    FALSE 	       8,31   	   45     	     0         
21,87     	  20,90   	    14122  	      1001010      	0         	    FALSE 	       8,42   	   4A     	     0         
24,22     	  20,72   	    14312  	      1000101      	0         	    FALSE 	       8,51   	   45     	     0         
25,43     	  20,91   	    14515  	      1001010      	0         	    FALSE 	       8,64   	   4A     	     0         
25,10     	  20,87   	    14655  	      1000101      	0         	    FALSE 	       8,73   	   45     	     0         
25,50     	  20,77   	    14782  	      1001010      	0         	    FALSE 	       8,82   	   4A     	     0         
24,19     	  20,85   	    14969  	      1000101      	0         	    FALSE 	       8,91   	   45     	     0         
21,27     	  20,81   	    15166  	      1001010      	0         	    FALSE 	       9,03   	   4A     	     0         
21,76     	  21,11   	    15304  	      1000101      	0         	    FALSE 	       9,14   	   45     	     0         
22,13     	  21,08   	    15508  	      1001010      	0         	    FALSE 	       9,22   	   4A     	     0         
21,69     	  21,06   	    15679  	      1000101      	0         	    FALSE 	       9,32   	   45     	     0         
21,94     	  20,92   	    15860  	      1001010      	0         	    FALSE 	       9,42   	   4A     	     0         
24,64     	  21,01   	    16006  	      1000101      	0         	    FALSE 	       9,53   	   45     	     0         
24,22     	  20,67   	    16186  	      1001010      	0         	    FALSE 	       9,58   	   4A     	     0         
24,41     	  20,82   	    16405  	      1000101      	0         	    FALSE 	       9,68   	   45     	     0         
25,54     	  20,76   	    16594  	      1001010      	0         	    FALSE 	       9,81   	   4A     	     0         
25,40     	  20,77   	    16740  	      1000101      	0         	    FALSE 	       9,91   	   45     	     0         
21,99     	  20,61   	    17070  	      1001010      	0         	    FALSE 	       9,98   	   4A     	     0         
21,09     	  20,85   	    17221  	      1000101      	0         	    FALSE 	       10,20  	   45     	     0         
21,48     	  20,81   	    17398  	      1001010      	0         	    FALSE 	       10,28  	   4A     	     0         
21,62     	  20,82   	    17598  	      1000101      	0         	    FALSE 	       10,38  	   45     	     0         
25,34     	  20,76   	    17769  	      1001010      	0         	    FALSE 	       10,48  	   4A     	     0         
25,35     	  20,62   	    17945  	      1000101      	0         	    FALSE 	       10,59  	   45     	     0         
24,19     	  20,68   	    18111  	      1001010      	0         	    FALSE 	       10,68  	   4A     	     0         
24,83     	  20,68   	    18311  	      1000101      	0         	    FALSE 	       10,78  	   45     	     0         
25,10     	  20,62   	    18479  	      1001010      	0         	    FALSE 	       10,89  	   4A     	     0         
22,20     	  20,59   	    18680  	      1000101      	0         	    FALSE 	       10,99  	   45     	     0         
22,06     	  20,77   	    18872  	      1001010      	0         	    FALSE 	       11,10  	   4A     	     0         
22,10     	  21,00   	    19077  	      1000101      	0         	    FALSE 	       11,21  	   45     	     0         
22,29     	  20,96   	    19255  	      1001010      	0         	    FALSE 	       11,32  	   4A     	     0         
21,62     	  20,94   	    19431  	      1000101      	0         	    FALSE 	       11,41  	   45     	     0         
24,16     	  21,08   	    19633  	      1001010      	0         	    FALSE 	       11,51  	   4A     	     0         
25,35     	  20,77   	    19814  	      1000101      	0         	    FALSE 	       11,62  	   45     	     0         
24,37     	  20,82   	    19956  	      1001010      	0         	    FALSE 	       11,73  	   4A     	     0         
24,84     	  20,82   	    20125  	      1000101      	0         	    FALSE 	       11,81  	   45     	     0         
24,64     	  20,82   	    20333  	      1001010      	0         	    FALSE 	       11,92  	   4A     	     0         
21,04     	  20,72   	    20480  	      1000101      	0         	    FALSE 	       12,03  	   45     	     0         
18,84     	  21,03   	    20778  	      1001010      	0         	    FALSE 	       12,14  	   4A     	     0         
18,45     	  20,63   	    20938  	      1000101      	0         	    FALSE 	       12,27  	   45     	     0         
21,99     	  20,81   	    21166  	      1001010      	0         	    FALSE 	       12,37  	   4A     	     0         
24,61     	  21,03   	    21331  	      1000101      	0         	    FALSE 	       12,50  	   45     	     0         
24,18     	  20,84   	    21524  	      1001010      	0         	    FALSE 	       12,59  	   4A     	     0         
25,44     	  20,81   	    21640  	      1000101      	0         	    FALSE 	       12,72  	   45     	     0         
25,33     	  20,52   	    21819  	      1001010      	0         	    FALSE 	       12,79  	   4A     	     0         
25,16     	  20,56   	    22005  	      1000101      	0         	    FALSE 	       12,89  	   45     	     0         
21,88     	  20,56   	    22255  	      1001010      	0         	    FALSE 	       12,99  	   4A     	     0         
22,16     	  21,00   	    22342  	      1000101      	0         	    FALSE 	       13,13  	   45     	     0         
22,37     	  20,82   	    22546  	      1001010      	0         	    FALSE 	       13,19  	   4A     	     0         
21,03     	  20,76   	    22704  	      1000101      	0         	    FALSE 	       13,29  	   45     	     0         
21,85     	  20,84   	    22879  	      1001010      	0         	    FALSE 	       13,39  	   4A     	     0         
24,13     	  20,77   	    23081  	      1000101      	0         	    FALSE 	       13,49  	   45     	     0         
25,33     	  20,61   	    23253  	      1001010      	0         	    FALSE 	       13,59  	   4A     	     0         
24,35     	  20,62   	    23420  	      1000101      	0         	    FALSE 	       13,69  	   45     	     0         
24,13     	  20,50   	    23588  	      1001010      	0         	    FALSE 	       13,79  	   4A     	     0         
