05.01.2006	16:53
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
----------------------------------------------------------------------------------------------------------------------------------------------------------
28,23     	  39,84   	    0      	       1001010      	0         	    FALSE 	       0,00   	   4A     	     0         
25,57     	  39,34   	    0      	       1000101      	0         	    FALSE 	       0,50   	   45     	     0         
28,72     	  39,20   	    0      	       1001010      	0         	    FALSE 	       0,90   	   4A     	     0         
25,91     	  39,06   	    0      	       1000101      	0         	    FALSE 	       1,40   	   45     	     0         
28,35     	  39,39   	    0      	       1001010      	0         	    FALSE 	       1,90   	   4A     	     0         
25,19     	  39,25   	    0      	       1000101      	0         	    FALSE 	       2,40   	   45     	     0         
28,63     	  39,32   	    0      	       1001010      	0         	    FALSE 	       2,93   	   4A     	     0         
25,84     	  39,11   	    0      	       1000101      	0         	    FALSE 	       3,40   	   45     	     0         
28,76     	  39,47   	    0      	       1001010      	0         	    FALSE 	       3,91   	   4A     	     0         
25,42     	  39,25   	    0      	       1000101      	0         	    FALSE 	       4,41   	   45     	     0         
29,09     	  39,28   	    0      	       1001010      	0         	    FALSE 	       4,91   	   4A     	     0         
25,75     	  39,19   	    0      	       1000101      	0         	    FALSE 	       5,41   	   45     	     0         
29,00     	  39,27   	    0      	       1001010      	0         	    FALSE 	       5,91   	   4A     	     0         
25,18     	  39,24   	    0      	       1000101      	0         	    FALSE 	       6,41   	   45     	     0         
29,04     	  39,14   	    0      	       1001010      	0         	    FALSE 	       6,91   	   4A     	     0         
25,56     	  39,10   	    0      	       1000101      	0         	    FALSE 	       7,41   	   45     	     0         
28,60     	  39,41   	    0      	       1001010      	0         	    FALSE 	       7,90   	   4A     	     0         
25,42     	  39,18   	    0      	       1000101      	0         	    FALSE 	       8,40   	   45     	     0         
28,91     	  39,32   	    0      	       1001010      	0         	    FALSE 	       8,93   	   4A     	     0         
25,90     	  39,27   	    0      	       1000101      	0         	    FALSE 	       9,40   	   45     	     0         
28,80     	  39,38   	    0      	       1001010      	0         	    FALSE 	       9,90   	   4A     	     0         
25,44     	  39,27   	    0      	       1000101      	0         	    FALSE 	       10,40  	   45     	     0         
28,86     	  39,14   	    0      	       1001010      	0         	    FALSE 	       10,91  	   4A     	     0         
25,46     	  39,14   	    0      	       1000101      	0         	    FALSE 	       11,41  	   45     	     0         
28,75     	  39,37   	    0      	       1001010      	0         	    FALSE 	       11,91  	   4A     	     0         
25,21     	  39,27   	    0      	       1000101      	0         	    FALSE 	       12,41  	   45     	     0         
28,67     	  39,17   	    0      	       1001010      	0         	    FALSE 	       12,91  	   4A     	     0         
25,34     	  38,99   	    0      	       1000101      	0         	    FALSE 	       13,41  	   45     	     0         
28,63     	  39,38   	    0      	       1001010      	0         	    FALSE 	       13,91  	   4A     	     0         
25,40     	  39,37   	    0      	       1000101      	0         	    FALSE 	       14,41  	   45     	     0         
28,84     	  39,46   	    0      	       1001010      	0         	    FALSE 	       14,93  	   4A     	     0         
25,95     	  39,04   	    0      	       1000101      	0         	    FALSE 	       15,40  	   45     	     0         
28,63     	  39,42   	    0      	       1001010      	0         	    FALSE 	       15,91  	   4A     	     0         
25,20     	  39,27   	    0      	       1000101      	0         	    FALSE 	       16,40  	   45     	     0         
28,84     	  39,24   	    0      	       1001010      	0         	    FALSE 	       16,90  	   4A     	     0         
25,94     	  39,22   	    0      	       1000101      	0         	    FALSE 	       17,40  	   45     	     0         
28,87     	  39,47   	    0      	       1001010      	0         	    FALSE 	       17,91  	   4A     	     0         
25,44     	  39,39   	    0      	       1000101      	0         	    FALSE 	       18,41  	   45     	     0         
28,67     	  39,32   	    0      	       1001010      	0         	    FALSE 	       18,91  	   4A     	     0         
25,56     	  39,13   	    0      	       1000101      	0         	    FALSE 	       19,41  	   45     	     0         
28,38     	  39,57   	    0      	       1001010      	0         	    FALSE 	       19,91  	   4A     	     0         
25,70     	  39,32   	    0      	       1000101      	0         	    FALSE 	       20,41  	   45     	     0         
28,77     	  39,42   	    0      	       1001010      	0         	    FALSE 	       20,93  	   4A     	     0         
25,75     	  39,10   	    0      	       1000101      	0         	    FALSE 	       21,41  	   45     	     0         
28,95     	  39,51   	    0      	       1001010      	0         	    FALSE 	       21,91  	   4A     	     0         
25,18     	  39,37   	    0      	       1000101      	0         	    FALSE 	       22,41  	   45     	     0         
29,19     	  39,42   	    0      	       1001010      	0         	    FALSE 	       22,91  	   4A     	     0         
25,30     	  39,19   	    0      	       1000101      	0         	    FALSE 	       23,41  	   45     	     0         
28,48     	  39,50   	    0      	       1001010      	0         	    FALSE 	       23,90  	   4A     	     0         
25,23     	  39,38   	    0      	       1000101      	0         	    FALSE 	       24,40  	   45     	     0         
28,70     	  39,36   	    0      	       1001010      	0         	    FALSE 	       24,91  	   4A     	     0         
25,75     	  39,17   	    0      	       1000101      	0         	    FALSE 	       25,41  	   45     	     0         
28,49     	  39,48   	    0      	       1001010      	0         	    FALSE 	       25,91  	   4A     	     0         
25,65     	  39,28   	    0      	       1000101      	0         	    FALSE 	       26,41  	   45     	     0         
28,80     	  39,38   	    0      	       1001010      	0         	    FALSE 	       26,94  	   4A     	     0         
26,01     	  39,22   	    0      	       1000101      	0         	    FALSE 	       27,41  	   45     	     0         
28,40     	  39,57   	    0      	       1001010      	0         	    FALSE 	       27,91  	   4A     	     0         
25,73     	  39,36   	    0      	       1000101      	0         	    FALSE 	       28,41  	   45     	     0         
28,52     	  39,36   	    0      	       1001010      	0         	    FALSE 	       28,91  	   4A     	     0         
25,62     	  39,20   	    0      	       1000101      	0         	    FALSE 	       29,41  	   45     	     0         
28,57     	  39,61   	    0      	       1001010      	0         	    FALSE 	       29,91  	   4A     	     0         
25,90     	  39,45   	    0      	       1000101      	0         	    FALSE 	       30,40  	   45     	     0         
28,52     	  39,42   	    0      	       1001010      	0         	    FALSE 	       30,90  	   4A     	     0         
25,86     	  39,34   	    0      	       1000101      	0         	    FALSE 	       31,40  	   45     	     0         
28,39     	  39,71   	    0      	       1001010      	0         	    FALSE 	       31,91  	   4A     	     0         
25,75     	  39,48   	    0      	       1000101      	0         	    FALSE 	       32,41  	   45     	     0         
29,10     	  39,36   	    0      	       1001010      	0         	    FALSE 	       32,94  	   4A     	     0         
25,39     	  39,33   	    0      	       1000101      	0         	    FALSE 	       33,41  	   45     	     0         
28,79     	  39,52   	    0      	       1001010      	0         	    FALSE 	       33,91  	   4A     	     0         
25,52     	  39,45   	    0      	       1000101      	0         	    FALSE 	       34,41  	   45     	     0         
29,14     	  39,41   	    0      	       1001010      	0         	    FALSE 	       34,91  	   4A     	     0         
25,57     	  39,24   	    0      	       1000101      	0         	    FALSE 	       35,41  	   45     	     0         
28,60     	  39,48   	    0      	       1001010      	0         	    FALSE 	       35,91  	   4A     	     0         
25,40     	  39,32   	    0      	       1000101      	0         	    FALSE 	       36,41  	   45     	     0         
29,04     	  39,36   	    0      	       1001010      	0         	    FALSE 	       36,91  	   4A     	     0         
25,79     	  39,17   	    0      	       1000101      	0         	    FALSE 	       37,40  	   45     	     0         
28,33     	  39,60   	    0      	       1001010      	0         	    FALSE 	       37,90  	   4A     	     0         
25,19     	  39,34   	    0      	       1000101      	0         	    FALSE 	       38,40  	   45     	     0         
28,62     	  39,46   	    0      	       1001010      	0         	    FALSE 	       38,94  	   4A     	     0         
25,79     	  39,20   	    0      	       1000101      	0         	    FALSE 	       39,41  	   45     	     0         
28,52     	  39,50   	    0      	       1001010      	0         	    FALSE 	       39,91  	   4A     	     0         
25,33     	  39,24   	    0      	       1000101      	0         	    FALSE 	       40,41  	   45     	     0         
28,61     	  39,38   	    0      	       1001010      	0         	    FALSE 	       40,91  	   4A     	     0         
25,51     	  39,25   	    0      	       1000101      	0         	    FALSE 	       41,41  	   45     	     0         
28,79     	  39,46   	    0      	       1001010      	0         	    FALSE 	       41,91  	   4A     	     0         
25,29     	  39,43   	    0      	       1000101      	0         	    FALSE 	       42,41  	   45     	     0         
28,84     	  39,32   	    0      	       1001010      	0         	    FALSE 	       42,91  	   4A     	     0         
29,19     	  39,09   	    0      	       1000101      	0         	    FALSE 	       43,41  	   45     	     0         
28,56     	  39,56   	    0      	       1001010      	0         	    FALSE 	       43,51  	   4A     	     0         
28,77     	  39,51   	    0      	       1000101      	0         	    FALSE 	       43,61  	   45     	     0         
28,99     	  39,32   	    0      	       1001010      	0         	    FALSE 	       43,71  	   4A     	     0         
25,44     	  39,28   	    0      	       1000101      	0         	    FALSE 	       43,81  	   45     	     0         
25,28     	  39,57   	    0      	       1001010      	0         	    FALSE 	       43,91  	   4A     	     0         
25,09     	  39,37   	    0      	       1000101      	0         	    FALSE 	       44,00  	   45     	     0         
25,58     	  39,42   	    0      	       1001010      	0         	    FALSE 	       44,11  	   4A     	     0         
25,99     	  39,20   	    0      	       1000101      	0         	    FALSE 	       44,20  	   45     	     0         
28,43     	  39,60   	    0      	       1001010      	0         	    FALSE 	       44,30  	   4A     	     0         
28,80     	  39,33   	    0      	       1000101      	0         	    FALSE 	       44,40  	   45     	     0         
29,10     	  39,32   	    0      	       1001010      	0         	    FALSE 	       44,51  	   4A     	     0         
29,15     	  39,20   	    0      	       1000101      	0         	    FALSE 	       44,60  	   45     	     0         
28,95     	  39,50   	    0      	       1001010      	0         	    FALSE 	       44,71  	   4A     	     0         
25,14     	  39,29   	    0      	       1000101      	0         	    FALSE 	       44,80  	   45     	     0         
25,81     	  39,45   	    0      	       1001010      	0         	    FALSE 	       44,93  	   4A     	     0         
25,34     	  39,06   	    0      	       1000101      	0         	    FALSE 	       45,00  	   45     	     0         
25,37     	  39,55   	    0      	       1001010      	0         	    FALSE 	       45,10  	   4A     	     0         
25,37     	  39,43   	    0      	       1000101      	0         	    FALSE 	       45,20  	   45     	     0         
28,58     	  39,47   	    0      	       1001010      	0         	    FALSE 	       45,30  	   4A     	     0         
28,93     	  39,08   	    0      	       1000101      	0         	    FALSE 	       45,40  	   45     	     0         
28,75     	  39,52   	    0      	       1001010      	0         	    FALSE 	       45,50  	   4A     	     0         
29,07     	  39,41   	    0      	       1000101      	0         	    FALSE 	       45,61  	   45     	     0         
29,03     	  39,34   	    0      	       1001010      	0         	    FALSE 	       45,71  	   4A     	     0         
